200CDL600B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
,311,1219.2,21,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,312,1852.4,21,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,313,2473.7,21,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,314,3083.2,21,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,315,3680.9,21,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,316,523.3,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,317,1170.9,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,318,1806.8,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,319,2430.8,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,320,3042.9,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,321,3643.3,24,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,322,1121.7,27,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,323,1760.1,27,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,324,2386.8,27,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,325,3001.6,27,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,326,3604.6,27,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,327,1712.5,30,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,328,2341.8,30,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,329,2959.3,30,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
,330,3564.9,30,,,,,CycloBlower H.E. - 200CDL600 RC1 Low Compression FFL  model not available
RC3 (High),331,660.3,21,88.2,816,29,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,332,1272.3,21,133,1223,44,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,333,1885.1,21,180.4,1631,58,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,334,2498.6,21,230.1,2039,73,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,335,3112.8,21,282.3,2447,87,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,336,3727.9,21,353.4,1587,72,60,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,337,631.3,24,99.2,815,29,68,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,338,1244.6,24,147,1223,44,685,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,339,1858.6,24,197.2,1631,58,68,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,340,2473.5,24,249.9,2039,73,68,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,341,3089,24,305,2447,87,68,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,342,3705.4,24,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,343,603,27,110.8,815,29,76,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,344,1217.6,27,161.5,1223,44,76,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,345,1833,27,214.6,1631,58,76,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,346,2449.2,27,270.2,2039,73,76,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,347,3066.1,27,328.2,2447,87,76,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,348,3683.7,27,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,349,575.5,30,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,350,1191.5,30,176.6,1223,44,85,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,351,1808.2,30,232.6,1631,58,85,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,352,2425.6,30,291.1,2038,73,85,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,353,3043.8,30,352,2446,87,85,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,354,3662.8,30,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,355,1166.1,33,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,356,1784.1,33,251.2,1630,58,93,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,357,2402.9,33,312.5,2038,73,93,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,358,3022.4,33,376.3,2446,87,93,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL
,359,3642.7,33,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,360,1141.5,36,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,361,1760.9,36,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,362,23810,36,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,363,3001.8,36,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
,364,3623.4,36,,,,,CycloBlower H.E. - 200CDL600 RC3 High Compression FFL model not available
