BLOWER,MOTOR,INLET,DISCHARGE,DRAWING,PACKAGE,SHIPPING,ENCLOSURE,SHIPPING
MODEL,HP,SIZE,SIZE,#,PRICE  $,WEIGHT  #,PRICE  $,WEIGHT  #
125CDL375,75,"6""","6""",,"51,348",3562,"9,596",876
,,"8""","6""",,"52,615",3701,"9,596",876
160CDL480,100,"8""","6""",,"74,833",4681,"10,237",929
,,"8""","8""",,"76,308",6855,"10,237",929
,125,"8""","6""",,"78,014",4911,"10,237",929
,,"8""","8""",,"79,489",5071,"10,237",929
200CDL600,125,"10""","10""",,"107,068",7355,"14,280",1267
,,"12""","10""",,"108,988",7597,"13,298",1185
,150,"10""","10""",,"107,563",7504,"14,280",1267
,,"12""","10""",,"109,483",7746,"12,516",1120
250CDL750,150,"12""","10""",,"149,471",9766,"14,280",1267
,,"12""","12""",,"151,977",10090,"14,741",1305
,200,"12""","12""",,"154,835",10550,"14,280",1267
,,"14""","12""",,"159,269",10805,"14,741",1305
