160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,101,760,5,27.1,1355,38,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,102,760,9,39.6,1404,39,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,103,760,12,50.1,1442,40,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,104,760,15,61.7,1481,41,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,105,760,18,74.3,1521,42,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,106,760,20,70.3,2724,61,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,107,820,5,29,1434,40,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,108,820,9,42.1,1483,41,53,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,109,820,12,53.1,1521,42,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,110,820,15,65.1,1560,43,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,111,820,18,78.2,1600,44,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,112,820,20,87.5,1627,45,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,113,880,5,30.9,1513,42,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,114,880,9,44.6,1562,43,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,115,880,12,56.1,1600,44,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,116,880,15,68.5,1639,46,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,117,880,18,82.1,1678,47,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,118,880,20,91.7,1705,47,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,119,940,5,32.8,1592,44,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,120,940,9,47.1,1641,46,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,121,940,12,59.1,1678,47,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,122,940,15,72,1717,48,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,123,940,18,86,1756,49,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,124,940,20,95.9,1783,50,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,125,1000,5,34.7,1671,46,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,126,1000,9,49.7,1719,48,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,127,1000,12,62.1,1757,49,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,128,1000,15,75.5,1795,50,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,129,1000,18,89.9,1834,51,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,130,1000,20,100.2,1861,52,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,131,1060,5,36.7,1749,49,18,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
