250CDL750B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
,314,4667.8,27,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
,315,5746.8,27,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
,316,2480.2,30,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
,317,3548.3,30,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
,318,4623.3,30,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
,319,5705.3,30,,,,,CycloBlower H.E. - 250CDL750 RC1-Low model not available
RC3 (High),320,552.8,21,109.4,509,23,60,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,321,1545.7,21,180,855,39,60,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,322,2565,21,258.1,1202,55,60,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,323,3610.8,21,343.5,1549,70,60,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,324,4682.9,21,436.2,1895,86,60,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,325,5781.4,21,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,326,1503,24,200.5,855,39,68,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,327,2524.1,24,283.4,1202,55,68,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,328,3571.6,24,373.4,1549,70,68,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,329,4645.5,24,470.6,1895,86,68,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,330,5745.8,24,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,331,1461.3,27,222.2,855,39,76,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,332,2484.2,27,309.6,1202,55,76,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,333,3533.5,27,404.3,1548,70,76,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,334,4609.1,27,506.2,1895,86,76,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,335,5711.2,27,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,336,2445.2,30,337,1202,55,85,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,337,3496.3,30,436.4,1548,70,85,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,338,4573.7,30,542.9,1895,86,85,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,339,5677.6,30,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,340,2407.2,33,365.5,1201,55,93,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,341,3460,33,469.5,1548,70,93,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,342,4539.3,33,580.6,1894,86,93,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL
,342,5644.9,33,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,343,3424.8,36,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,344,4505.8,36,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
,345,5613.2,36,,,,,CycloBlower H.E. - 250CDL750 RC3 High Compression FFL  model not available
